bus,total_rides
863211,1677475
873275,1677431
1043125,1677327
914038,1677315
981925,1677306
1045953,1677222
1045640,1677194
948286,1677181
1035412,1677088
1034023,1676962
996746,1676952
944696,1676907
1013971,1676783
889641,1676753
1050387,1676739
1036745,1676738
985527,1676738
1045666,1676734
1033341,1676703
975403,1676627
858960,1676555
879791,1676505
1002646,1676467
1040502,1676311
1015390,1676289
908654,1676146
890982,1676040
922487,1675892
1030300,1675890
873365,1675765
1023957,1675755
1018388,1675558
1008989,1675521
998899,1675508
1060084,1675426
1041758,1675388
1026962,1675228
841332,1675062
1012560,1675053
1023752,1674982
961814,1674862
1025978,1674842
904654,1674839
1015116,1674823
882052,1674613
1044685,1674469
1033982,1674378
980261,1674298
993279,1674260
1020222,1674256
1022970,1674200
1045824,1674095
951984,1674056
954409,1674038
1039134,1673989
866716,1673904
1062234,1673812
897959,1673780
980388,1673736
1045626,1673705
990574,1673595
1050834,1673587
1044468,1673460
879565,1673253
1053813,1673156
858568,1673110
960123,1673104
1025128,1673065
1047634,1672982
1042694,1672961
851720,1672878
978212,1672872
992006,1672843
961177,1672754
952867,1672661
997830,1672640
851071,1672555
875619,1672489
988825,1672450
884989,1672397
880506,1672376
1001892,1672291
1047045,1672291
960037,1672213
869966,1672185
958406,1672030
958191,1671989
1044661,1671748
1036601,1671608
1042359,1671602
1028849,1671552
910863,1671297
1057275,1671268
1035982,1671206
1007282,1671194
1022417,1670978
1029256,1670898
908842,1670833
987926,1670769
1023301,1670766
997379,1670763
961489,1670733
885587,1670708
1021163,1670677
1009091,1670594
876000,1670572
986777,1670567
1051889,1670329
886146,1670285
911402,1670182
1043033,1670149
907393,1670119
1064265,1670117
1046467,1670033
1024142,1670026
1059535,1669911
982149,1669878
1054608,1669876
906712,1669839
1039517,1669749
1009515,1669712
870533,1669663
986800,1669624
1041265,1669579
1006105,1669453
991055,1669382
1001116,1669379
889039,1669361
1061904,1669230
1015639,1669208
1028124,1669203
1000799,1669179
867162,1669134
976842,1669115
908692,1669054
955113,1669031
1045190,1669029
1005969,1668905
913930,1668876
1014276,1668823
877350,1668812
888084,1668771
1057056,1668687
890581,1668670
863513,1668584
1035512,1668565
971157,1668484
1030930,1668319
1033686,1668235
1025866,1668219
850229,1668138
958648,1668131
1041939,1668077
1049773,1668003
1036604,1667853
867704,1667841
1026715,1667816
1028542,1667800
1000324,1667791
1046692,1667779
996166,1667646
885919,1667620
1049667,1667515
929760,1667434
923651,1667366
906942,1667341
999345,1667308
1051962,1667255
1017567,1667210
878043,1667085
859904,1666985
1024125,1666985
1029700,1666942
964972,1666930
958271,1666867
958057,1666786
957398,1666652
951645,1666426
841692,1666350
1010707,1666327
854059,1666253
1028046,1666238
1044204,1666196
950077,1666189
913081,1666119
1044379,1665983
1039365,1665883
950402,1665876
1049697,1665867
945792,1665862
916259,1665759
1037513,1665450
1030816,1665359
955597,1665291
1036014,1665254
1032282,1665218
1019275,1665133
939032,1665133
1013812,1665081
1035702,1665077
925043,1664969
903230,1664935
885401,1664688
1024350,1664629
866316,1664628
879935,1664613
1027685,1664435
1033748,1664428
900252,1664287
1031317,1664270
1039082,1664119
1013203,1664080
890627,1663944
886265,1663923
1034962,1663685
1017434,1663574
901067,1663572
940403,1663510
1032999,1663409
973800,1663360
889137,1663335
996694,1663281
1017857,1663269
973051,1663237
1019495,1663226
1033261,1663088
975824,1663085
982426,1663061
902867,1662786
1030074,1662760
1049416,1662710
882063,1662632
1019769,1662385
883107,1662384
1026177,1662296
1032930,1662250
1039940,1662204
858460,1662188
925361,1662048
905178,1662038
993335,1662004
1034088,1661982
969085,1661941
1025525,1661923
1011003,1661914
1028104,1661885
881053,1661723
845624,1661710
848028,1661409
860819,1661354
988026,1661340
872679,1661329
1041324,1661252
944394,1661178
1008096,1661145
1022880,1660997
931825,1660953
1013298,1660941
934909,1660889
976956,1660883
1020619,1660843
997495,1660835
1048343,1660602
880810,1660236
1015139,1660100
976688,1660088
938830,1660061
931983,1660050
999397,1659862
1024212,1659799
899363,1659699
925177,1659628
1019370,1659574
